Wavenumber,Intensity
293.87483355525965379680,0.11892201
294.87350199733688415632,0.10409547
295.87217043941411451584,0.10916761
296.87083888149134487536,0.1114478
297.86950732356857523488,0.10836778
298.86817576564580559440,0.11006955
299.86684420772303595392,0.10025286
300.86551264980026631344,0.09724368
301.86418109187749667296,0.10674441
302.86284953395472703248,0.09767139
303.86151797603195739200,0.10465246
304.86018641810918775152,0.09862471
305.85885486018641811104,0.10120548
306.85752330226364847056,0.10339878
307.85619174434087883008,0.10347047
308.85486018641810918960,0.09287506
309.85352862849533954912,0.11650965
310.85219707057256990864,0.08818492
311.85086551264980026816,0.08401657
312.84953395472703062768,0.07824861
313.84820239680426098720,0.09251659
314.84687083888149134672,0.09298198
315.84553928095872170624,0.09802812
316.84420772303595206576,0.10236963
317.84287616511318242528,0.09806666
318.84154460719041278480,0.08459133
319.84021304926764314432,0.09838077
320.83888149134487350384,0.10167992
321.83754993342210386336,0.09546848
322.83621837549933422288,0.09171052
323.83488681757656458240,0.09381894
324.83355525965379494192,0.08026736
325.83222370173102530144,0.10515806
326.83089214380825566096,0.10115746
327.82956058588548602048,0.13494085
328.82822902796271638000,0.10041508
329.82689747003994673952,0.1088126
330.82556591211717709904,0.10489044
331.82423435419440745856,0.11056197
332.82290279627163781808,0.10731274
333.82157123834886817760,0.09960908
334.82023968042609853712,0.10208008
335.81890812250332889664,0.09506821
336.81757656458055925616,0.10776038
337.81624500665778961568,0.10491344
338.81491344873501997520,0.09689144
339.81358189081225033472,0.10074145
340.81225033288948069424,0.11059623
341.81091877496671105376,0.11985331
342.80958721704394141328,0.08857897
343.80825565912117177280,0.09600267
344.80692410119840213232,0.11823274
345.80559254327563249184,0.11367675
346.80426098535286285136,0.10177778
347.80292942743009321088,0.0940621
348.80159786950732357040,0.09051219
349.80026631158455392992,0.09469278
350.79893475366178428944,0.10381561
351.79760319573901464896,0.09225967
352.79627163781624500848,0.09989342
353.79494007989347536800,0.1074594
354.79360852197070572752,0.070567
355.79227696404793608704,0.095801
356.79094540612516644656,0.09378776
357.78961384820239680608,0.10354388
358.78828229027962716560,0.09306182
359.78695073235685752512,0.09018093
360.78561917443408788464,0.09188984
361.78428761651131824416,0.0882991
362.78295605858854860368,0.10027535
363.78162450066577896320,0.08084244
364.78029294274300932272,0.09801202
365.77896138482023968224,0.09610054
366.77762982689747004176,0.08332575
367.77629826897470040128,0.09211175
368.77496671105193076080,0.09225991
369.77363515312916112032,0.08407219
370.77230359520639147984,0.08112456
371.77097203728362183936,0.10463735
372.76964047936085219888,0.09289123
373.76830892143808255840,0.10839251
374.76697736351531291792,0.0949097
375.76564580559254327744,0.09856069
376.76431424766977363696,0.09428005
377.76298268974700399648,0.10372263
378.76165113182423435600,0.11222207
379.76031957390146471552,0.1146281
380.75898801597869507504,0.11582303
381.75765645805592543456,0.11406801
382.75632490013315579408,0.11297838
383.75499334221038615360,0.12086506
384.75366178428761651312,0.11417034
385.75233022636484687264,0.11117075
386.75099866844207723216,0.112624
387.74966711051930759168,0.1228299
388.74833555259653795120,0.12553964
389.74700399467376831072,0.12560891
390.74567243675099867024,0.13489748
391.74434087882822902976,0.13841306
392.74300932090545938928,0.13586256
393.74167776298268974880,0.14193013
394.74034620505992010832,0.14256102
395.73901464713715046784,0.12308085
396.73768308921438082736,0.12251398
